variable,target,lag,pearson_correlation,pearson_pvalue,spearman_correlation,spearman_pvalue,sample_size
avg_funding_rate,price_direction_1d,2,0.0006454492393170377,0.9832461070005387,-0.0211366429000232,0.49161084051253334,1061
avg_funding_rate,price_direction_1d,3,0.004065888136158123,0.8948102147862773,-0.008518355523268595,0.7817683105485123,1060
avg_funding_rate,price_direction_1d,7,0.01111230705049481,0.7183306828746724,-0.009389750674877758,0.7605366740308523,1056
avg_funding_rate,price_direction_7d,0,0.021943946253701146,0.47479585542913,-0.002793824844071861,0.9275069096841033,1063
avg_funding_rate,price_direction_7d,1,0.020313374952610947,0.5084405617583501,-0.019486807463865292,0.5258491028980492,1062
avg_funding_rate,price_direction_7d,2,0.03317646705610715,0.2802845878150938,-0.002365675508305311,0.9386502656492205,1061
avg_funding_rate,price_direction_7d,3,0.04949657816477454,0.10727180126834393,0.01314547824827427,0.6690157235571872,1060
avg_funding_rate,price_direction_7d,7,0.008247857580586656,0.7889219632590435,0.011190174292868924,0.7164418050479983,1056
long_short_ratio,price_static,0,,,,,1063
long_short_ratio,price_static,1,,,,,1062
long_short_ratio,price_static,2,,,,,1061
long_short_ratio,price_static,3,,,,,1060
long_short_ratio,price_static,7,,,,,1056
long_short_ratio,price_change_1d,0,,,,,1063
long_short_ratio,price_change_1d,1,,,,,1062
long_short_ratio,price_change_1d,2,,,,,1061
long_short_ratio,price_change_1d,3,,,,,1060
long_short_ratio,price_change_1d,7,,,,,1056
long_short_ratio,price_change_7d,0,,,,,1058
long_short_ratio,price_change_7d,1,,,,,1057
long_short_ratio,price_change_7d,2,,,,,1056
long_short_ratio,price_change_7d,3,,,,,1055
long_short_ratio,price_change_7d,7,,,,,1051
long_short_ratio,price_change_30d,0,,,,,1035
long_short_ratio,price_change_30d,1,,,,,1034
long_short_ratio,price_change_30d,2,,,,,1033
long_short_ratio,price_change_30d,3,,,,,1032
long_short_ratio,price_change_30d,7,,,,,1028
long_short_ratio,volatility_7d,0,,,,,1056
long_short_ratio,volatility_7d,1,,,,,1056
long_short_ratio,volatility_7d,2,,,,,1056
long_short_ratio,volatility_7d,3,,,,,1056
long_short_ratio,volatility_7d,7,,,,,1056
long_short_ratio,price_direction_1d,0,,,,,1063
long_short_ratio,price_direction_1d,1,,,,,1062
long_short_ratio,price_direction_1d,2,,,,,1061
long_short_ratio,price_direction_1d,3,,,,,1060
long_short_ratio,price_direction_1d,7,,,,,1056
long_short_ratio,price_direction_7d,0,,,,,1063
long_short_ratio,price_direction_7d,1,,,,,1062
long_short_ratio,price_direction_7d,2,,,,,1061
long_short_ratio,price_direction_7d,3,,,,,1060
long_short_ratio,price_direction_7d,7,,,,,1056
taker_buy_sell_ratio,price_static,0,0.012229015325228104,0.6904409757058796,0.05885106758956963,0.05508989316242767,1063
taker_buy_sell_ratio,price_static,1,0.015179225132093105,0.6212273033450428,0.06160527581945821,0.044733041074219826,1062
taker_buy_sell_ratio,price_static,2,0.015942039007647006,0.603969400428192,0.061495778108859214,0.04521636563207818,1061
taker_buy_sell_ratio,price_static,3,0.020317142102308332,0.5087624182727504,0.06687545330035909,0.02946746251499391,1060
taker_buy_sell_ratio,price_static,7,0.02892590915482139,0.3476978817831816,0.07010456744536026,0.022712633588514955,1056
taker_buy_sell_ratio,price_change_1d,0,0.01813221587571747,0.5548353970287945,0.023393954136101614,0.4460982663009453,1063
taker_buy_sell_ratio,price_change_1d,1,-0.01120412345606299,0.7153314351744767,-0.013404403048024111,0.6625955550245513,1062
taker_buy_sell_ratio,price_change_1d,2,0.05828371383828452,0.05771574990388106,0.06691928789828358,0.02928447064854645,1061
taker_buy_sell_ratio,price_change_1d,3,0.018534775160984555,0.5466495055617064,0.028978850592755786,0.3459020329694654,1060
taker_buy_sell_ratio,price_change_1d,7,0.02861955668615325,0.35282983200867696,0.037577727034272645,0.22242080051905883,1056
taker_buy_sell_ratio,price_change_7d,0,0.03020004004054116,0.3264070246556923,0.017625560927191326,0.5668669087117637,1058
taker_buy_sell_ratio,price_change_7d,1,0.034022258439231054,0.26910454925036825,0.029370955632081832,0.340098407116753,1057
taker_buy_sell_ratio,price_change_7d,2,0.04016338076652514,0.1921872727210804,0.0399247726630734,0.19484396403680615,1056
taker_buy_sell_ratio,price_change_7d,3,0.02608219180039116,0.3973802917222516,0.021524421849183305,0.4849384806469269,1055
taker_buy_sell_ratio,price_change_7d,7,0.023237127562153487,0.45173082296963807,0.01716960800375835,0.5782092409469541,1051
taker_buy_sell_ratio,price_change_30d,0,0.03643511877091761,0.24154179736974427,0.030662646018797736,0.32437832496110164,1035
taker_buy_sell_ratio,price_change_30d,1,0.04460885184736506,0.1517392788334622,0.0358950745706761,0.2488230223939847,1034
taker_buy_sell_ratio,price_change_30d,2,0.044656649914243285,0.15149902852553565,0.0455820894599489,0.14319120714277422,1033
taker_buy_sell_ratio,price_change_30d,3,0.032261843251486184,0.3004740416293191,0.03436494187296621,0.2700474638408889,1032
taker_buy_sell_ratio,price_change_30d,7,0.05547732232137877,0.07541312760612404,0.07222096783406211,0.02056986145167912,1028
taker_buy_sell_ratio,volatility_7d,0,-0.3167394905065595,4.8923664463757825e-26,-0.35990288782809415,1.2071014185419374e-33,1056
taker_buy_sell_ratio,volatility_7d,1,-0.31513963162857755,8.885997358949967e-26,-0.35363303953822134,1.8303863182263628e-32,1056
taker_buy_sell_ratio,volatility_7d,2,-0.31624984464964845,5.875062206793332e-26,-0.34160297346794943,2.8496589786788354e-30,1056
taker_buy_sell_ratio,volatility_7d,3,-0.29602462180298306,8.411590148083001e-23,-0.3168748932558919,4.650614406671702e-26,1056
taker_buy_sell_ratio,volatility_7d,7,-0.16687898988746902,4.9029128549342764e-08,-0.18564508292310303,1.2129727406525657e-09,1056
taker_buy_sell_ratio,price_direction_1d,0,0.03055731163800398,0.3195704009581161,0.017067470874085014,0.578314666147308,1063
taker_buy_sell_ratio,price_direction_1d,1,-0.010806984388440653,0.725005344785556,-0.007809271722002227,0.7993446160149085,1062
taker_buy_sell_ratio,price_direction_1d,2,0.06116005548105873,0.04640589976486455,0.07167658814259097,0.01954484274665063,1061
