variable,target,lag,pearson_correlation,pearson_pvalue,spearman_correlation,spearman_pvalue,sample_size,pearson_pvalue_fdr,is_significant_fdr,r_squared,coefficient,intercept
avg_tx_size_usd,volatility_1d,7,0.0150115379656899,0.8071119662269772,0.08442026328186232,0.16900036336786775,267,0.8071119662269772,False,,,
avg_tx_size_usd,volatility_1d,14,,,,,260,,False,,,
avg_tx_size_usd,volatility_7d,0,0.04692507268367465,0.4391535197594117,0.10030327588725278,0.09753862972203957,274,0.4391535197594117,False,,,
avg_tx_size_usd,volatility_7d,1,0.04348516620213059,0.47427873381202057,0.10299856927553232,0.08940830488091073,273,0.47427873381202057,False,,,
avg_tx_size_usd,volatility_7d,3,0.04627815951077854,0.44802019932715437,0.10910960572510098,0.07293685969402043,271,0.44802019932715437,False,,,
avg_tx_size_usd,volatility_7d,7,0.03823088459665802,0.5339456100814302,0.08794516176372827,0.15183735793264289,267,0.5339456100814302,False,,,
avg_tx_size_usd,volatility_7d,14,,,,,260,,False,,,
avg_tx_size_usd,price_direction_1d,0,0.06011396760717358,0.3214849211902836,0.08512508198315509,0.15996751786659222,274,0.3214849211902836,False,,,
avg_tx_size_usd,price_direction_1d,1,0.0604437676063757,0.31972529100428426,0.08559267272805333,0.15844422321451376,273,0.31972529100428426,False,,,
avg_tx_size_usd,price_direction_1d,3,-0.060665581203105765,0.3197450374826018,-0.08590794079675637,0.1584527080058524,271,0.3197450374826018,False,,,
avg_tx_size_usd,price_direction_1d,7,0.06151231696881432,0.3166565072170372,0.0006507448985966043,0.9915558488506246,267,0.3166565072170372,False,,,
avg_tx_size_usd,price_direction_1d,14,,,,,260,,False,,,
avg_tx_size_usd,price_direction_7d,0,-0.06467209429392387,0.2860907348051159,-0.0915796702152072,0.13049255959844272,274,0.2860907348051159,False,,,
avg_tx_size_usd,price_direction_7d,1,-0.06456860042338955,0.2877534282969413,-0.09143372928931495,0.1318210328754455,273,0.2877534282969413,False,,,
avg_tx_size_usd,price_direction_7d,3,-0.06483720995152643,0.28753670992704505,-0.0918153437827353,0.1316387482445463,271,0.28753670992704505,False,,,
avg_tx_size_usd,price_direction_7d,7,-0.06587842158432552,0.2834607931912366,-0.09329237902189819,0.1283662965446491,267,0.2834607931912366,False,,,
avg_tx_size_usd,price_direction_7d,14,,,,,260,,False,,,
avg_tx_size_usd,price_range,0,-0.02014196313277273,0.739950978416107,0.041544096754216955,0.49345178905506903,274,0.739950978416107,False,,,
avg_tx_size_usd,price_range,1,-0.06506313435266471,0.2840695405927172,-0.07380998461167726,0.22413577817704805,273,0.2840695405927172,False,,,
avg_tx_size_usd,price_range,3,0.04866139822918552,0.4249647017791084,-0.0018261532400406432,0.9761281896495806,271,0.4249647017791084,False,,,
avg_tx_size_usd,price_range,7,-0.041578624749263327,0.4987198446199741,0.004187663825162888,0.9457010585129,267,0.4987198446199741,False,,,
avg_tx_size_usd,price_range,14,,,,,260,,False,,,
large_tx_count,price_static,0,,,,,274,,False,,,
large_tx_count,price_static,1,,,,,273,,False,,,
large_tx_count,price_static,3,,,,,271,,False,,,
large_tx_count,price_static,7,,,,,267,,False,,,
large_tx_count,price_static,14,,,,,260,,False,,,
large_tx_count,price_change_1d,0,,,,,274,,False,,,
large_tx_count,price_change_1d,1,,,,,273,,False,,,
large_tx_count,price_change_1d,3,,,,,271,,False,,,
large_tx_count,price_change_1d,7,,,,,267,,False,,,
large_tx_count,price_change_1d,14,,,,,260,,False,,,
large_tx_count,price_change_7d,0,,,,,274,,False,,,
large_tx_count,price_change_7d,1,,,,,273,,False,,,
large_tx_count,price_change_7d,3,,,,,271,,False,,,
large_tx_count,price_change_7d,7,,,,,267,,False,,,
large_tx_count,price_change_7d,14,,,,,260,,False,,,
large_tx_count,volatility_1d,0,,,,,274,,False,,,
large_tx_count,volatility_1d,1,,,,,273,,False,,,
large_tx_count,volatility_1d,3,,,,,271,,False,,,
large_tx_count,volatility_1d,7,,,,,267,,False,,,
large_tx_count,volatility_1d,14,,,,,260,,False,,,
large_tx_count,volatility_7d,0,,,,,274,,False,,,
large_tx_count,volatility_7d,1,,,,,273,,False,,,
large_tx_count,volatility_7d,3,,,,,271,,False,,,
large_tx_count,volatility_7d,7,,,,,267,,False,,,
large_tx_count,volatility_7d,14,,,,,260,,False,,,
large_tx_count,price_direction_1d,0,,,,,274,,False,,,
large_tx_count,price_direction_1d,1,,,,,273,,False,,,
large_tx_count,price_direction_1d,3,,,,,271,,False,,,
large_tx_count,price_direction_1d,7,,,,,267,,False,,,
large_tx_count,price_direction_1d,14,,,,,260,,False,,,
