date,upbit_price,upbit_open,upbit_high,upbit_low,binance_price,binance_open,binance_high,binance_low,bitget_price,bitget_open,bitget_high,bitget_low,krw_usd
2025-09-22,160730000.0,161410000.0,161631000.0,159000000.0,112650.99,115232.29,115379.25,111800.0,112887.93,112824.36,113300.0,111484.7,1393.6
2025-09-23,159679000.0,160731000.0,161350000.0,158668000.0,111998.8,112650.99,113290.5,111458.73,113344.08,112887.93,113898.78,111051.88,1394.0
2025-09-24,160700000.0,159680000.0,161200000.0,159001000.0,113307.0,111998.8,113940.0,111042.66,111599.94,113344.08,113940.0,110644.0,1393.8
2025-09-25,158200000.0,160700000.0,161037000.0,158000000.0,108994.49,113307.01,113510.23,108631.51,109034.01,111599.94,111691.41,108619.17,1394.9
2025-09-26,158128000.0,158219000.0,159307000.0,157100000.0,109643.46,108994.49,110300.0,108620.07,109405.16,109034.01,110305.14,109032.42,1400.4
2025-09-27,157895000.0,158129000.0,158250000.0,157126000.0,109635.85,109643.46,109743.91,109064.4,110037.42,109405.16,110037.42,109200.0,1406.0
2025-09-28,160579000.0,157892000.0,160800000.0,157559000.0,112163.95,109635.85,112350.0,109189.99,113809.02,110037.42,114247.29,110011.0,1408.8
2025-09-29,162976000.0,160579000.0,163200000.0,159300000.0,114311.96,112163.96,114400.0,111560.65,113110.86,113809.02,114781.8,112663.02,1411.6
2025-09-30,162828000.0,162976000.0,163655000.0,161111000.0,114048.93,114311.97,114792.0,112656.27,117414.94,113110.86,117659.84,112798.25,1402.2
2025-10-01,168424000.0,162828000.0,168429000.0,162789000.0,118594.99,114048.94,118649.1,113966.67,119924.65,117414.94,119924.66,116734.35,1403.2
2025-10-02,170704000.0,168424000.0,170903000.0,167709000.0,120529.35,118594.99,121022.07,118279.31,122262.92,119924.65,122378.75,119232.78,1406.0
2025-10-03,173460000.0,170749000.0,174995000.0,169100000.0,122232.0,120529.35,123894.99,119248.3,121790.99,122262.92,123888.87,121500.0,1403.95
2025-10-04,174964000.0,173460000.0,174990000.0,172673000.0,122391.0,122232.21,122800.0,121510.0,122829.67,121790.99,125728.35,121519.28,1402.9250000000002
