symbol,date,open,high,low,close,volume,quote_volume,atr,rsi,upper_shadow,lower_shadow,upper_shadow_ratio,lower_shadow_ratio,weekly_range,weekly_range_pct,body_size,body_size_pct,volatility_ratio
BTCUSDT,2024-03-24,68393.47,68956.0,60775.0,67209.99,409762.74414,26650024155.369255,6002.404285714287,85.62710884610783,,,,,8181.0,13.461127108185932,,,0.0893082157237977
ETHUSDT,2024-03-31,3454.99,3678.86,3420.12,3645.29,2678017.3235,9535234404.393774,398.05071428571426,74.83297735395857,,,,,258.74000000000024,7.565231629299564,,,0.10919589779845068
BTCUSDT,2024-03-31,67210.0,71769.54,66385.06,71280.01,235409.95755,16447219313.362337,6111.629285714286,86.5379354527055,,,,,5384.479999999996,8.110981597365425,,,0.08574113956653888
ETHUSDT,2024-04-07,3645.29,3645.95,3202.79,3454.2,2537269.621,8512590174.720036,410.6085714285714,69.8408776270762,,,,,443.15999999999985,13.836686139272317,,,0.11887226316616624
BTCUSDT,2024-04-07,71280.0,71288.23,64493.07,69360.39,274227.11488,18477347510.28267,6418.260714285714,83.91141914968497,,,,,6795.159999999996,10.536263818732767,,,0.09253495711724968
ETHUSDT,2024-04-14,3454.2,3730.71,2852.0,3155.11,4111856.8835,13628708835.829506,449.70928571428567,64.62102681829144,,,,,878.71,30.81030855539972,,,0.14253363138346545
BTCUSDT,2024-04-14,69360.38,72797.99,60660.57,65661.84,348008.31904,23573044024.56447,6918.817142857144,75.88722211475331,,,,,12137.420000000006,20.008747032874908,,,0.1053704426019305
BTCUSDT,2024-04-21,65661.85,66867.07,59600.01,64941.15,312265.13225,19770016571.144737,6904.358571428572,78.65285365573023,,,,,7267.060000000005,12.193051645461141,,,0.10631715901902833
ETHUSDT,2024-04-21,3155.11,3277.85,2865.18,3147.67,3082901.5669,9470667441.476887,439.8328571428571,61.44132168628942,,,,,412.6700000000001,14.402934545124568,,,0.13973283639735332
BTCUSDT,2024-04-28,64941.15,67232.35,62391.24,63118.62,183902.50753,11912668416.230446,7014.580000000002,75.53715880465228,,,,,4841.110000000008,7.759278385875978,,,0.1111332915706966
ETHUSDT,2024-04-28,3147.66,3357.4,3066.74,3263.45,2171496.9307,6935610810.162968,446.36357142857145,63.2243548535219,,,,,290.6600000000003,9.47781683481483,,,0.13677659269440975
BTCUSDT,2024-05-05,63118.62,64734.0,56552.82,64012.0,298372.0172,18009828104.661854,7292.687142857144,75.79127001671317,,,,,8181.18,14.466440400319561,,,0.11392687531802075
ETHUSDT,2024-05-05,3263.44,3286.95,2817.0,3136.41,2745302.3283,8346598802.826688,458.6435714285714,64.77765717569335,,,,,469.9499999999998,16.68264110756123,,,0.1462320205038791
ETHUSDT,2024-05-12,3136.4,3221.4,2878.03,2929.29,1733118.1611,5234584515.657297,471.8714285714286,60.15066475346345,,,,,343.3699999999999,11.930730395444101,,,0.1610873039444468
BTCUSDT,2024-05-12,64012.0,65500.0,60187.12,61483.99,179712.75232,11213593898.291069,7523.787142857144,71.19465576181567,,,,,5312.879999999997,8.827270685156554,,,0.12236985828110936
BTCUSDT,2024-05-19,61484.0,67700.0,60749.21,66274.01,195247.04901,12599942771.404057,7567.803571428572,70.58302551586908,,,,,6950.790000000001,11.441778419834597,,,0.11418961326511815
ETHUSDT,2024-05-19,2929.3,3146.98,2862.0,3071.19,2006314.8675,6004690659.156336,472.9042857142857,59.1718382056386,,,,,284.98,9.95737246680643,,,0.1539807975782305
BTCUSDT,2024-05-26,66274.0,71979.0,66060.31,68507.67,220708.83749,15256004970.768106,7625.809285714286,69.46111842108392,,,,,5918.690000000002,8.959525015852941,,,0.11131321917260192
ETHUSDT,2024-05-26,3071.2,3949.29,3047.67,3826.47,4432688.1628,16338483865.622902,507.09142857142854,63.67653314273644,,,,,901.6199999999999,29.583911643977196,,,0.13252199248169425
