symbol,date,close,volume,quote_volume,open,high,low
BTCUSDT,2025-06-24,106083.0,14651.69335,1543451113.4563613,105333.94,106290.0,104622.02
ETHUSDT,2025-06-25,2418.49,414894.7387,1007574107.706431,2448.46,2468.69,2389.69
BTCUSDT,2025-06-25,107340.58,16701.15551,1789545470.94629,106083.0,108135.3,105808.03
ETHUSDT,2025-06-26,2415.96,463704.0261,1138310757.584065,2418.5,2520.92,2394.32
BTCUSDT,2025-06-26,106947.06,10573.27279,1136093974.6816013,107340.59,108272.45,106562.5
ETHUSDT,2025-06-27,2423.17,381474.766,927024811.54842,2415.96,2463.54,2382.53
BTCUSDT,2025-06-27,107047.59,12232.44042,1308420348.9100094,106947.06,107735.34,106356.76
ETHUSDT,2025-06-28,2435.62,155814.9859,378310903.948948,2423.17,2447.8,2405.81
BTCUSDT,2025-06-28,107296.79,3282.17352,352025390.6031135,107047.58,107577.75,106811.51
BTCUSDT,2025-06-29,108356.93,6831.7364,736708189.9495684,107296.79,108528.5,107172.52
ETHUSDT,2025-06-29,2500.09,284291.8057,700329421.976834,2435.62,2525.0,2412.0
BTCUSDT,2025-06-30,107146.5,9754.12491,1050407152.345058,108356.93,108789.99,106733.33
ETHUSDT,2025-06-30,2485.47,440455.714,1093515997.924797,2500.09,2524.3,2431.0
BTCUSDT,2025-07-01,105681.14,10505.62437,1117432945.8926365,107146.51,107540.0,105250.85
ETHUSDT,2025-07-01,2405.01,351951.0868,858543228.334264,2485.47,2500.8,2386.52
BTCUSDT,2025-07-02,108849.6,17691.89592,1915699005.8772898,105681.13,109730.0,105100.19
ETHUSDT,2025-07-02,2570.41,634967.0337,1599878809.253887,2405.01,2619.28,2373.0
ETHUSDT,2025-07-03,2591.25,504943.6592,1308429372.972785,2570.41,2635.5,2556.12
BTCUSDT,2025-07-03,109584.78,13047.08225,1429459048.6383262,108849.59,110529.18,108530.4
ETHUSDT,2025-07-04,2508.04,452593.02,1142275937.968202,2591.26,2603.17,2474.24
BTCUSDT,2025-07-04,107984.24,11793.86615,1276215111.6683652,109584.77,109767.59,107245.0
ETHUSDT,2025-07-05,2516.41,157198.0958,394906375.017766,2508.04,2529.81,2487.95
BTCUSDT,2025-07-05,108198.12,3736.9757,403928702.1967476,107984.25,108420.56,107756.31
ETHUSDT,2025-07-06,2570.35,277593.6319,707971625.070802,2516.42,2605.0,2503.5
