symbol,date,open,high,low,close,volume,quote_volume
ETHUSDT,2022-10-27,1566.09,1578.57,1503.39,1514.21,410610.3022,636544994.6023244
BTCUSDT,2022-10-27,20769.66,20873.28,20200.0,20295.32,24295.889726,500360550.05278444
BTCUSDT,2022-10-28,20295.32,20750.0,20000.0,20591.65,23718.493897,483495697.23654544
ETHUSDT,2022-10-28,1514.21,1575.49,1479.71,1554.29,266909.2307,406294534.2914694
ETHUSDT,2022-10-29,1554.29,1664.08,1547.37,1619.34,252210.96863,407862941.5536062
BTCUSDT,2022-10-29,20591.65,21082.91,20553.23,20808.44,11562.027673,240654063.6368376
ETHUSDT,2022-10-30,1619.34,1640.28,1576.33,1590.62,138066.15876,221096450.7226624
BTCUSDT,2022-10-30,20808.44,20932.0,20514.0,20627.18,7798.174637,161486334.14713088
ETHUSDT,2022-10-31,1590.62,1635.74,1545.51,1573.13,234236.4694,370679288.0278255
BTCUSDT,2022-10-31,20627.18,20841.61,20237.18,20491.17,15871.511441,325541686.26084113
ETHUSDT,2022-11-01,1573.13,1613.32,1563.43,1578.6,204562.92419,324302922.0686175
BTCUSDT,2022-11-01,20491.17,20695.0,20330.35,20483.43,13586.383872,278610804.6335264
BTCUSDT,2022-11-02,20483.43,20799.0,20058.97,20151.84,16151.3772,330138474.43145186
ETHUSDT,2022-11-02,1578.6,1620.97,1501.58,1518.03,266790.58585,417283178.3013281
BTCUSDT,2022-11-03,20151.84,20393.52,20029.42,20209.59,8708.091138,176285047.433312
ETHUSDT,2022-11-03,1518.03,1559.27,1515.0,1531.19,126097.01123,194247831.6031765
ETHUSDT,2022-11-04,1531.19,1677.74,1528.2,1644.6,231552.39317,372169604.4341351
BTCUSDT,2022-11-04,20209.59,21300.0,20182.04,21143.84,22757.053147,473376456.39251214
BTCUSDT,2022-11-05,21143.84,21480.0,21080.27,21298.28,10124.972758,216001385.81390607
ETHUSDT,2022-11-05,1644.6,1667.48,1620.93,1626.69,104361.22592,171370036.930323
BTCUSDT,2022-11-06,21298.28,21366.0,20887.3,20908.35,9006.331751,190661617.0029218
ETHUSDT,2022-11-06,1626.69,1639.19,1563.99,1568.28,114238.88744,184242028.8414543
BTCUSDT,2022-11-07,20908.35,21070.71,20384.44,20589.55,18547.591297,385045828.7344111
ETHUSDT,2022-11-07,1568.28,1608.71,1545.85,1568.3,178355.98017,281465737.4944869
BTCUSDT,2022-11-08,20589.55,20679.66,17531.0,18545.0,49190.843966,953688423.7501292
ETHUSDT,2022-11-08,1568.3,1581.34,1206.16,1334.22,697741.82376,993714200.471031
BTCUSDT,2022-11-09,18545.0,18587.78,15530.0,15910.69,48135.871722,833427406.2618732
ETHUSDT,2022-11-09,1334.22,1337.62,1072.4,1101.8,642357.45906,782113975.8125184
ETHUSDT,2022-11-10,1101.8,1349.0,1084.71,1299.35,352315.3315,432775946.4546033
BTCUSDT,2022-11-10,15910.69,18150.0,15736.68,17600.05,29581.719845,501616426.21347094
ETHUSDT,2022-11-11,1299.35,1309.25,1201.16,1289.08,286447.29738,361964572.5448128
BTCUSDT,2022-11-11,17600.05,17692.14,16364.0,17058.81,31012.732996,527987723.059208
ETHUSDT,2022-11-12,1289.08,1292.51,1238.91,1257.38,101142.25026,127985115.9056842
BTCUSDT,2022-11-12,17058.81,17110.0,16636.1,16814.0,7572.216075,127542433.09543793
ETHUSDT,2022-11-13,1257.38,1274.63,1201.16,1221.88,79241.76684,98216461.7277072
BTCUSDT,2022-11-13,16814.0,16951.5,16235.01,16340.57,6378.291943,106039146.53237008
ETHUSDT,2022-11-14,1221.88,1290.68,1171.61,1242.34,203962.37332,252271730.4320938
BTCUSDT,2022-11-14,16340.57,17188.88,15825.88,16620.26,17927.973339,296573670.1984838
ETHUSDT,2022-11-15,1242.34,1290.7,1234.31,1253.31,151184.03048,190469948.6666608
BTCUSDT,2022-11-15,16620.26,17123.0,16527.0,16894.5,12374.208004,208753295.00258014
ETHUSDT,2022-11-16,1253.31,1268.5,1187.32,1216.13,114327.93443,140089101.6754229
BTCUSDT,2022-11-16,16894.5,17016.66,16380.0,16658.23,8494.660744,141532084.2294821
BTCUSDT,2022-11-17,16658.23,16747.96,16415.56,16692.1,4668.039281,77485838.24113666
ETHUSDT,2022-11-17,1216.13,1228.6,1182.1,1200.12,159982.08829,192616222.6535402
ETHUSDT,2022-11-18,1200.12,1233.77,1199.0,1212.24,119352.75831,144967840.232257
BTCUSDT,2022-11-18,16692.1,16991.0,16542.42,16696.97,4773.828947,79996260.46789321
BTCUSDT,2022-11-19,16696.97,16817.48,16552.99,16695.81,2030.627192,33828905.33184596
ETHUSDT,2022-11-19,1212.24,1233.89,1197.5,1217.22,69619.21189,84307242.6188977
ETHUSDT,2022-11-20,1217.22,1226.8,1133.39,1142.33,148078.69086,174791222.5105072
BTCUSDT,2022-11-20,16695.81,16749.18,16183.73,16278.35,3915.650168,64622091.61636897
ETHUSDT,2022-11-21,1142.33,1146.75,1080.32,1107.49,73119.27484,81643930.839273
BTCUSDT,2022-11-21,16278.35,16318.32,15484.34,15782.91,6534.772374,104496098.18433307
ETHUSDT,2022-11-22,1107.49,1142.63,1075.01,1139.15,176039.31265,194943934.81846
BTCUSDT,2022-11-22,15782.91,16302.26,15622.5,16222.53,9184.816177,146657644.65300438
ETHUSDT,2022-11-23,1139.15,1190.72,1127.75,1184.27,168244.7149,195723720.0690269
BTCUSDT,2022-11-23,16222.53,16700.0,16159.01,16603.73,8032.858835,132444911.374603
BTCUSDT,2022-11-24,16603.73,16808.9,16457.92,16598.08,5154.478213,85657591.79324095
ETHUSDT,2022-11-24,1184.27,1217.54,1180.5,1203.76,84339.39237,101145316.9658849
ETHUSDT,2022-11-25,1203.76,1207.93,1171.2,1199.05,75406.52652,89741296.640755
BTCUSDT,2022-11-25,16598.08,16623.79,16343.4,16522.0,5110.683685,84293008.41997848
ETHUSDT,2022-11-26,1199.05,1234.52,1196.52,1206.02,67213.13813,81713857.7950823
BTCUSDT,2022-11-26,16522.0,16696.22,16387.15,16462.86,3498.455043,57944950.68503272
ETHUSDT,2022-11-27,1206.02,1223.12,1188.77,1193.67,56181.28773,68080861.6006889
