date,capital
2025-07-24,92727364.47000293
2025-07-25,92354395.96829139
2025-07-26,92354395.96829139
2025-07-27,92354395.96829139
2025-07-28,92354395.96829139
2025-07-29,92354395.96829139
2025-07-30,92354395.96829139
2025-07-31,92354395.96829139
2025-08-01,92354395.96829139
2025-08-02,92354395.96829139
2025-08-03,92354395.96829139
2025-08-04,92354395.96829139
2025-08-05,92354395.96829139
2025-08-06,92354395.96829139
2025-08-07,92354395.96829139
2025-08-08,92354395.96829139
2025-08-09,92354395.96829139
2025-08-10,92354395.96829139
2025-08-11,92354395.96829139
2025-08-12,92354395.96829139
2025-08-13,92354395.96829139
2025-08-14,92354395.96829139
2025-08-15,94203204.19082044
2025-08-16,94203204.19082044
2025-08-17,94203204.19082044
2025-08-18,94203204.19082044
2025-08-19,94203204.19082044
2025-08-20,94203204.19082044
2025-08-21,94203204.19082044
2025-08-22,94203204.19082044
2025-08-23,94203204.19082044
2025-08-24,94203204.19082044
2025-08-25,92359709.61681262
2025-08-26,92359709.61681262
2025-08-27,92359709.61681262
2025-08-28,92359709.61681262
2025-08-29,94142131.38729648
2025-08-30,94142131.38729648
2025-08-31,94142131.38729648
2025-09-01,94142131.38729648
2025-09-02,94142131.38729648
2025-09-03,94142131.38729648
2025-09-04,94142131.38729648
2025-09-05,94142131.38729648
2025-09-06,94142131.38729648
2025-09-07,94142131.38729648
2025-09-08,94142131.38729648
2025-09-09,94142131.38729648
2025-09-10,94142131.38729648
2025-09-11,94142131.38729648
2025-09-12,94142131.38729648
2025-09-13,94142131.38729648
2025-09-14,94142131.38729648
2025-09-15,94142131.38729648
2025-09-16,94142131.38729648
2025-09-17,94142131.38729648
2025-09-18,94142131.38729648
2025-09-19,94142131.38729648
2025-09-20,94142131.38729648
2025-09-21,94142131.38729648
2025-09-22,94142131.38729648
2025-09-23,95053577.36430132
2025-09-24,95053577.36430132
2025-09-25,95053577.36430132
2025-09-26,95053577.36430132
2025-09-27,95053577.36430132
2025-09-28,96126569.65952627
2025-09-29,96126569.65952627
2025-09-30,96126569.65952627
2025-10-01,96126569.65952627
2025-10-02,96126569.65952627
2025-10-03,94330252.26180999
2025-10-04,94330252.26180999
2025-10-05,94330252.26180999
2025-10-06,94330252.26180999
2025-10-07,94330252.26180999
2025-10-08,94330252.26180999
2025-10-09,94330252.26180999
2025-10-10,94330252.26180999
2025-10-11,94330252.26180999
2025-10-12,94952894.12066624
2025-10-13,94952894.12066624
2025-10-14,94952894.12066624
2025-10-15,94952894.12066624
2025-10-16,94952894.12066624
2025-10-17,94952894.12066624
2025-10-18,94952894.12066624
2025-10-19,94952894.12066624
2025-10-20,94952894.12066624
2025-10-21,94952894.12066624
2025-10-22,94952894.12066624
2025-10-23,94952894.12066624
2025-10-24,94952894.12066624
2025-10-25,94952894.12066624
2025-10-26,94952894.12066624
2025-10-27,94952894.12066624
