date,symbol,avg_funding_rate,sum_open_interest,long_short_ratio,volatility_24h,target_volatility_24h
2022-06-26,ETHUSDT,1.4383333333333335e-05,892603.465,,0.0,
2022-06-26,BTCUSDT,1.4383333333333335e-05,96730.673,,0.0,
2022-06-27,ETHUSDT,-6.060333333333333e-05,880592.935,,0.0,
2022-06-27,BTCUSDT,-6.060333333333333e-05,96005.808,,0.0,
2022-06-28,BTCUSDT,1.6056666666666668e-05,99057.951,,0.0,
2022-06-28,ETHUSDT,1.6056666666666668e-05,881447.07,,0.0,
2022-06-29,BTCUSDT,2.0156666666666666e-05,98202.593,,0.0,
2022-06-29,ETHUSDT,2.0156666666666666e-05,872243.111,,0.0,
2022-06-30,BTCUSDT,-8.330333333333333e-05,93882.799,,0.0,
2022-06-30,ETHUSDT,-8.330333333333333e-05,870560.151,,0.0,
2022-07-01,ETHUSDT,-6.079333333333333e-05,849250.306,,0.0,
2022-07-01,BTCUSDT,-6.079333333333333e-05,90878.775,,0.0,
2022-07-02,ETHUSDT,-3.085e-05,853316.12,,0.0,
2022-07-02,BTCUSDT,-3.085e-05,94011.399,,0.0,
2022-07-03,ETHUSDT,2.699999999999993e-06,918583.938,,0.0,
2022-07-03,BTCUSDT,2.699999999999993e-06,94535.468,,0.0,
2022-07-04,ETHUSDT,1.999999999999999e-06,934524.266,,0.0,
2022-07-04,BTCUSDT,1.999999999999999e-06,102321.293,,0.0,
2022-07-05,BTCUSDT,2.2883333333333335e-05,100119.744,,0.0,
2022-07-05,ETHUSDT,2.2883333333333335e-05,897856.46,,0.0,
2022-07-06,BTCUSDT,8.124333333333333e-05,102772.127,,0.0,
2022-07-06,ETHUSDT,8.124333333333333e-05,970144.046,,0.0,
2022-07-07,BTCUSDT,8.963666666666668e-05,116343.632,,0.0,
2022-07-07,ETHUSDT,8.963666666666668e-05,976833.38,,0.0,
2022-07-08,ETHUSDT,8.501666666666667e-05,911725.875,,0.0,
2022-07-08,BTCUSDT,8.501666666666667e-05,110334.103,,0.0,
2022-07-09,ETHUSDT,3.6696666666666664e-05,889355.528,,0.0,
2022-07-09,BTCUSDT,3.6696666666666664e-05,109420.555,,0.0,
2022-07-10,ETHUSDT,7.049333333333334e-05,892132.648,,0.0,
2022-07-10,BTCUSDT,7.049333333333334e-05,104402.068,,0.0,
2022-07-11,ETHUSDT,3.729e-05,884318.932,,0.0,
2022-07-11,BTCUSDT,3.729e-05,104919.56,,0.0,
2022-07-12,ETHUSDT,-2.059e-05,853573.141,,0.0,
2022-07-12,BTCUSDT,-2.059e-05,106356.092,,0.0,
2022-07-13,ETHUSDT,-0.00016783,878416.557,,0.0,
2022-07-13,BTCUSDT,-0.00016783,104589.137,,0.0,
2022-07-14,ETHUSDT,-5.558e-05,946098.865,,0.0,
2022-07-14,BTCUSDT,-5.558e-05,109430.93,,0.0,
2022-07-15,BTCUSDT,4.738e-05,112298.432,,0.0,
2022-07-15,ETHUSDT,4.738e-05,980729.627,,0.0,
2022-07-16,BTCUSDT,5.383000000000001e-05,111509.349,,0.0,
2022-07-16,ETHUSDT,5.383000000000001e-05,994590.345,,0.0,
2022-07-17,BTCUSDT,3.1230000000000004e-05,112471.003,,0.0,
2022-07-17,ETHUSDT,3.1230000000000004e-05,882232.968,,0.0,
2022-07-18,ETHUSDT,1.4560000000000001e-05,911500.562,,0.0,
2022-07-18,BTCUSDT,1.4560000000000001e-05,109209.391,,0.0,
2022-07-19,BTCUSDT,8.080666666666667e-05,119158.413,,0.0,
2022-07-19,ETHUSDT,8.080666666666667e-05,808066.698,,0.0,
2022-07-20,BTCUSDT,1.3763333333333336e-05,112301.836,,0.0,
